elapsed_s,adapter,phc_ns,delta_ns
0,0,1777372983862262640,0
0,1,329266144228,0
0,2,241704801490,0
10,0,1777372993467481280,0
10,1,339564799341,0
10,2,251749123495,0
20,0,1777373003070408800,0
20,1,349860885652,0
20,2,261791139728,0
30,0,1777373012680028720,0
30,1,360164322414,0
30,2,271840046421,0
40,0,1777373022289912160,0
40,1,370467927888,0
40,2,281889416580,0
50,0,1777373031898868480,0
50,1,380770553715,0
50,2,291937303015,0
60,0,1777373041508732880,0
60,1,391073833260,0
60,2,301986799940,0
70,0,1777373051111806480,0
70,1,401370603024,0
70,2,312028866770,0
80,0,1777373060716719040,0
80,1,411668843915,0
80,2,322073078489,0
90,0,1777373070329219281,0
90,1,421974971321,0
90,2,332124696162,0
100,0,1777373079940443040,0
100,1,432280296008,0
100,2,342175548184,0
110,0,1777373089548381840,0
110,1,442581833369,0
110,2,352222728270,0
120,0,1777373099158705680,0
120,1,452885935383,0
120,2,362272239041,0
130,0,1777373108758945440,0
130,1,463179189042,0
130,2,372311597974,0
140,0,1777373118367555600,0
140,1,473481543201,0
140,2,382359613840,0
150,0,1777373127981132080,0
150,1,483788944545,0
150,2,392412370103,0
160,0,1777373137586293040,0
160,1,494087488922,0
160,2,402456652803,0
170,0,1777373147189529120,0
170,1,504384036660,0
170,2,412498982094,0
180,0,1777373156799120480,0
180,1,514687368536,0
180,2,422547919578,0
190,0,1777373166401651440,0
190,1,524982857822,0
190,2,432589435577,0
200,0,1777373176004961200,0
200,1,535279817398,0
200,2,442631732149,0
210,0,1777373185605101680,0
210,1,545572773915,0
210,2,452670707944,0
220,0,1777373195219230720,0
220,1,555880926246,0
220,2,462724408730,0
230,0,1777373204832273200,0
230,1,566188125940,0
230,2,472776968854,0
240,0,1777373214444210320,0
240,1,576493760199,0
240,2,482828277757,0
250,0,1777373224047954160,0
250,1,586790931563,0
250,2,492871222017,0
260,0,1777373233658515680,0
260,1,597095177843,0
260,2,502920998478,0
270,0,1777373243268791920,0
270,1,607399237414,0
270,2,512970630232,0
280,0,1777373252872406240,0
280,1,617696397520,0
280,2,523013383059,0
290,0,1777373262485090960,0
290,1,628002880401,0
290,2,533065743462,0
300,0,1777373272092191120,0
300,1,638303458227,0
300,2,543111867824,0
310,0,1777373281698806160,0
310,1,648603653662,0
310,2,553157742237,0
320,0,1777373291304136880,0
320,1,658902343590,0
320,2,563202113040,0
330,0,1777373300926300400,0
330,1,669219022222,0
330,2,573264089483,0
340,0,1777373310536462160,0
340,1,679523473906,0
340,2,583313782531,0
350,0,1777373320137075520,0
350,1,689816704266,0
350,2,593353251927,0
360,0,1777373329749251440,0
360,1,700122885848,0
360,2,603405109268,0
370,0,1777373339350363760,0
370,1,710417317958,0
370,2,613444883995,0
380,0,1777373348959951280,0
380,1,720720708990,0
380,2,623493853893,0
390,0,1777373358559648000,0
390,1,731013173361,0
390,2,633532314307,0
400,0,1777373368167732000,0
400,1,741314825358,0
400,2,643579590607,0
410,0,1777373377773611040,0
410,1,751614073801,0
410,2,653624755363,0
420,0,1777373387377035280,0
420,1,761910744383,0
420,2,663667212126,0
430,0,1777373396976827280,0
430,1,772203551917,0
430,2,673705962420,0
440,0,1777373406579230560,0
440,1,782499293748,0
440,2,683747531874,0
450,0,1777373416186082720,0
450,1,792799470975,0
450,2,693793232395,0
460,0,1777373425800731600,0
460,1,803108257650,0
460,2,703847601687,0
470,0,1777373435404297920,0
470,1,813405160310,0
470,2,713890387956,0
480,0,1777373445006310560,0
480,1,823700215348,0
480,2,723931140729,0
490,0,1777373454613611360,0
490,1,834001270827,0
490,2,733977969673,0
500,0,1777373464219175520,0
500,1,844300253477,0
