elapsed_s,adapter,phc_ns,delta_ns
0,0,19025692,0
5,0,5178370817,0
10,0,10324827011,0
15,0,15486664839,0
20,0,20633762510,0
25,0,25780850327,0
30,0,30942316376,0
35,0,36103375470,0
40,0,41255099015,0
45,0,46413630077,0
50,0,51564040285,0
55,0,56725894938,0
60,0,61872443080,0
65,0,67020679460,0
70,0,72178084929,0
75,0,77327784900,0
80,0,82475323024,0
85,0,87621780983,0
90,0,92768746351,0
95,0,97915229547,0
100,0,103075425724,0
105,0,108225373813,0
110,0,113373902810,0
115,0,118521141553,0
120,0,123677625351,0
125,0,128828078523,0
130,0,133990671569,0
135,0,139140471604,0
140,0,144300817370,0
145,0,149462773747,0
150,0,154610775190,0
155,0,159757398173,0
160,0,164905337957,0
165,0,170066543280,0
170,0,175229053258,0
175,0,180378288559,0
180,0,185540185636,0
185,0,190687090879,0
190,0,195834210573,0
195,0,200984386418,0
200,0,206146496198,0
205,0,211296505946,0
210,0,216446749952,0
215,0,221608496761,0
220,0,226757763591,0
225,0,231907585984,0
230,0,237063240975,0
235,0,242224452998,0
240,0,247380230313,0
245,0,252531177278,0
250,0,257677884930,0
255,0,262835778005,0
260,0,267985905893,0
265,0,273134152010,0
270,0,278296302935,0
275,0,283442891623,0
280,0,288604018344,0
285,0,293762096653,0
290,0,298914285797,0
295,0,304063422497,0
