elapsed_s,adapter,phc_ns,delta_ns
0,0,22202113,0
0,1,5626315,0
5,0,5166931334,0
5,1,5062509095,0
10,0,10321386630,0
10,1,10128793510,0
15,0,15479922033,0
15,1,15199094740,0
20,0,20628707474,0
20,1,20259652001,0
25,0,25781445060,0
25,1,25324542931,0
30,0,30940218891,0
30,1,30395227319,0
35,0,36094752150,0
35,1,35461490092,0
40,0,41250683468,0
40,1,40529386798,0
45,0,46402238663,0
45,1,45592744659,0
50,0,51557642592,0
50,1,50660050327,0
55,0,56709941549,0
55,1,55724220509,0
60,0,61863003707,0
60,1,60789196780,0
65,0,67015932113,0
65,1,65853665362,0
70,0,72171531342,0
70,1,70921404726,0
75,0,77327381119,0
75,1,75989044844,0
80,0,82473465640,0
80,1,81047188727,0
85,0,87621922925,0
85,1,86107440449,0
90,0,92779699256,0
90,1,91177073055,0
95,0,97929776876,0
95,1,96239116587,0
100,0,103088299966,0
100,1,101309433859,0
105,0,108241162767,0
105,1,106374105238,0
110,0,113396939997,0
110,1,111441714697,0
115,0,118543833851,0
115,1,116500586079,0
120,0,123702977517,0
120,1,121571512130,0
125,0,128861800391,0
125,1,126642149963,0
130,0,134008180025,0
130,1,131700496401,0
135,0,139154681013,0
135,1,136759148474,0
140,0,144301581699,0
140,1,141817936604,0
145,0,149447878514,0
145,1,146876182662,0
150,0,154611052229,0
150,1,151951233467,0
155,0,159764641776,0
155,1,157016645796,0
160,0,164921715498,0
160,1,162085515565,0
165,0,170077007729,0
165,1,167152700621,0
170,0,175230064189,0
170,1,172217588718,0
175,0,180378385205,0
175,1,177277740256,0
