elapsed_s,adapter,phc_ns,delta_ns
0,0,1777475231341486400,0
0,1,317482286279,0
0,2,235916981397,0
10,0,1777475240948215600,0
10,1,327782458948,0
10,2,245962829629,0
20,0,1777475250558264480,0
20,1,338086317013,0
20,2,256012335918,0
30,0,1777475260170049040,0
30,1,348391971194,0
30,2,266063552751,0
40,0,1777475269783204320,0
40,1,358699083734,0
40,2,276116100459,0
50,0,1777475279394006800,0
50,1,369003789966,0
50,2,286166300809,0
60,0,1777475288997705120,0
60,1,379300778883,0
60,2,296209249020,0
70,0,1777475298607260400,0
70,1,389604156911,0
70,2,306257979137,0
80,0,1777475308207293040,0
80,1,399897045129,0
80,2,316297077071,0
90,0,1777475317814498800,0
90,1,410198023943,0
90,2,326343823919,0
100,0,1777475327416155200,0
100,1,420492652209,0
100,2,336384015051,0
110,0,1777475337021320320,0
110,1,430791350569,0
110,2,346428152723,0
120,0,1777475346634867840,0
120,1,441098686242,0
120,2,356481428977,0
130,0,1777475356247154800,0
130,1,451405019810,0
130,2,366533301048,0
140,0,1777475365853902240,0
140,1,461705502500,0
140,2,376578877181,0
150,0,1777475375457005520,0
150,1,472001656820,0
150,2,386621540877,0
160,0,1777475385057023920,0
160,1,482294711926,0
160,2,396660316581,0
170,0,1777475394899249600,0
170,1,492852930592,0
170,2,406957575079,0
180,0,1777475404391663440,0
180,1,503025135665,0
180,2,416878792301,0
190,0,1777475413995534160,0
190,1,513322148106,0
190,2,426921420596,0
200,0,1777475423603112960,0
200,1,523623211121,0
200,2,436968143206,0
210,0,1777475433209086240,0
210,1,533922677063,0
210,2,447013297601,0
220,0,1777475442821458160,0
220,1,544229187520,0
220,2,457065524959,0
230,0,1777475452431814560,0
230,1,554533145952,0
230,2,467114914474,0
240,0,1777475462042106720,0
240,1,564837118752,0
240,2,477164478331,0
250,0,1777475471650273200,0
250,1,575138919205,0
250,2,487211999279,0
260,0,1777475481256934400,0
260,1,585439170858,0
260,2,497257883121,0
270,0,1777475490864774960,0
270,1,595740547056,0
270,2,507304822286,0
280,0,1777475500467625920,0
280,1,606036899931,0
280,2,517346650058,0
290,0,1777475510076824720,0
290,1,616339459171,0
290,2,527395153613,0
300,0,1777475519679387600,0
300,1,626635266291,0
300,2,537436866088,0
310,0,1777475529286556240,0
310,1,636935966394,0
310,2,547483170270,0
320,0,1777475538890776640,0
320,1,647233609759,0
320,2,557526633044,0
330,0,1777475548503368000,0
330,1,657540311385,0
330,2,567578449281,0
340,0,1777475558110839040,0
340,1,667840863184,0
340,2,577624961553,0
350,0,1777475567717179360,0
350,1,678140897805,0
350,2,587670628150,0
360,0,1777475577324783920,0
360,1,688442072709,0
360,2,597717471068,0
370,0,1777475586932793200,0
370,1,698743697329,0
370,2,607764641131,0
380,0,1777475596541711600,0
380,1,709046270535,0
380,2,617812977202,0
390,0,1777475606152964960,0
390,1,719351358105,0
390,2,627863608076,0
400,0,1777475615765660000,0
400,1,729657981794,0
400,2,637915679418,0
410,0,1777475625378211440,0
410,1,739964497513,0
410,2,647967834991,0
420,0,1777475634984651280,0
420,1,750264471945,0
420,2,658013516880,0
430,0,1777475644598921200,0
430,1,760572700796,0
430,2,668067148581,0
440,0,1777475654208325920,0
440,1,770875813545,0
440,2,678115866909,0
450,0,1777475663815762000,0
450,1,781176847075,0
450,2,688162612375,0
460,0,1777475673423649120,0
460,1,791478406413,0
460,2,698209824394,0
470,0,1777475683028741280,0
470,1,801776856081,0
470,2,708253840826,0
480,0,1777475692632198240,0
480,1,812073388886,0
480,2,718296417881,0
490,0,1777475702241541440,0
490,1,822376630796,0
490,2,728344995951,0
500,0,1777475711852200320,0
500,1,832681072369,0
500,2,738395086754,0
510,0,1777475721454459920,0
510,1,842976576220,0
510,2,748436272476,0
520,0,1777475731054069360,0
520,1,853269125043,0
520,2,758474809861,0
530,0,1777475740659364720,0
530,1,863567686824,0
530,2,768518988893,0
540,0,1777475750269078160,0
540,1,873871159053,0
540,2,778568255787,0
550,0,1777475759876694720,0
550,1,884172491629,0
550,2,788615144178,0
560,0,1777475769484452480,0
560,1,894473744529,0
560,2,798662096787,0
570,0,1777475779092332400,0
570,1,904775398905,0
570,2,808709283507,0
580,0,1777475788703450640,0
580,1,915080371167,0
580,2,818759728055,0
590,0,1777475798315315440,0
590,1,925385949241,0
590,2,828811000255,0
600,0,1777475807920113920,0
600,1,935684255724,0
600,2,838855091281,0
610,0,1777475817526213920,0
610,1,945983773259,0
610,2,848900252070,0
620,0,1777475827127044080,0
620,1,956277539340,0
620,2,858939915854,0
630,0,1777475836740553600,0
630,1,966585201160,0
630,2,868993065182,0
640,0,1777475846349809280,0
640,1,976888178352,0
640,2,879041602260,0
650,0,1777475855954537440,0
650,1,987186250761,0
650,2,889085402058,0
660,0,1777475865562359600,0
660,1,997487608237,0
660,2,899132416266,0
670,0,1777475875167922800,0
670,1,1007786784837,0
670,2,909177221929,0
680,0,1777475884774392480,0
680,1,1018086673169,0
680,2,919222883627,0
690,0,1777475894378864160,0
690,1,1028384488580,0
690,2,929266426456,0
700,0,1777475903985822640,0
700,1,1038685009662,0
700,2,939312609944,0
710,0,1777475913597351600,0
710,1,1048990408662,0
710,2,949363577005,0
720,0,1777475923207151760,0
720,1,1059293926226,0
720,2,959412676126,0
730,0,1777475932815248240,0
730,1,1069595670007,0
730,2,969460133724,0
740,0,1777475942425330640,0
740,1,1079899527710,0
740,2,979509557838,0
750,0,1777475952037310800,0
750,1,1090205436273,0
750,2,989561075714,0
760,0,1777475961643221440,0
760,1,1100504738851,0
760,2,999606056266,0
770,0,1777475971248786880,0
770,1,1110804177534,0
770,2,1009650919802,0
780,0,1777475980855950400,0
780,1,1121104660606,0
780,2,1019697649543,0
790,0,1777475990458562320,0
790,1,1131400583817,0
790,2,1029738799189,0
800,0,1777476000059061920,0
800,1,1141693902778,0
800,2,1039778287955,0
810,0,1777476009668729760,0
810,1,1151997459913,0
810,2,1049827478022,0
820,0,1777476019271867200,0
820,1,1162293813215,0
820,2,1059869648086,0
830,0,1777476028872363760,0
830,1,1172587382765,0
830,2,1069909167387,0
840,0,1777476038473063360,0
840,1,1182881033512,0
840,2,1079948369679,0
850,0,1777476048086886320,0
850,1,1193189022250,0
850,2,1090001713862,0
860,0,1777476057701710400,0
860,1,1203497800704,0
860,2,1100056128434,0
870,0,1777476067308743680,0
870,1,1213798567624,0
870,2,1110102731635,0
880,0,1777476076908870160,0
880,1,1224091601531,0
880,2,1120141542933,0
890,0,1777476086521806400,0
890,1,1234398431290,0
890,2,1130193786899,0
900,0,1777476096131581200,0
900,1,1244702029782,0
900,2,1140243209117,0
910,0,1777476105745426800,0
910,1,1255009846500,0
910,2,1150296310837,0
920,0,1777476115351229600,0
920,1,1265309034548,0
920,2,1160341152415,0
930,0,1777476124959693040,0
930,1,1275611307022,0
930,2,1170389223135,0
940,0,1777476134562020640,0
940,1,1285906801867,0
940,2,1180430443182,0
950,0,1777476144174346480,0
950,1,1296212886343,0
950,2,1190482022208,0
960,0,1777476153775574640,0
960,1,1306507262420,0
960,2,1200522199928,0
970,0,1777476163377171440,0
970,1,1316802152573,0
970,2,1210563044096,0
980,0,1777476172986045360,0
980,1,1327104804084,0
980,2,1220610879355,0
990,0,1777476182586287920,0
990,1,1337397785674,0
990,2,1230649954256,0
1000,0,1777476192194708160,0
1000,1,1347699960824,0
1000,2,1240697867145,0
1010,0,1777476201802780960,0
1010,1,1358001540523,0
1010,2,1250745297356,0
1020,0,1777476211404907120,0
1020,1,1368296991193,0
1020,2,1260786267615,0
1030,0,1777476221010325200,0
1030,1,1378595893963,0
1030,2,1270830624380,0
1040,0,1777476230611858480,0
1040,1,1388890427817,0
1040,2,1280871242083,0
1050,0,1777476240218989760,0
1050,1,1399191162689,0
1050,2,1290917786993,0
1060,0,1777476249825953920,0
1060,1,1409491564037,0
1060,2,1300963808106,0
1070,0,1777476259436626080,0
1070,1,1419796619347,0
1070,2,1311014371227,0
1080,0,1777476269046060800,0
1080,1,1430099100250,0
1080,2,1321062420600,0
1090,0,1777476278659846800,0
1090,1,1440407156259,0
1090,2,1331116145897,0
1100,0,1777476288267676240,0
1100,1,1450708380609,0
1100,2,1341162893131,0
1110,0,1777476297879363520,0
1110,1,1461013994137,0
1110,2,1351214140981,0
1120,0,1777476307480945760,0
1120,1,1471308735011,0
1120,2,1361254576021,0
1130,0,1777476317081960560,0
1130,1,1481602797667,0
1130,2,1371294604649,0
1140,0,1777476326682586560,0
1140,1,1491896470042,0
1140,2,1381334057275,0
1150,0,1777476336287148480,0
1150,1,1502194559275,0
1150,2,1391378036072,0
1160,0,1777476345890662400,0
1160,1,1512491284244,0
1160,2,1401420427365,0
1170,0,1777476355490291840,0
1170,1,1522784445553,0
1170,2,1411458824540,0
1180,0,1777476365096735840,0
1180,1,1533083813368,0
1180,2,1421504550632,0
1191,0,1777476374701905920,0
1191,1,1543382366032,0
1191,2,1431548723545,0
1201,0,1777476384312046880,0
1201,1,1553686405767,0
1201,2,1441598486738,0
1211,0,1777476393921545280,0
1211,1,1563989481093,0
1211,2,1451647013151,0
1221,0,1777476403534218480,0
1221,1,1574296164043,0
1221,2,1461699332337,0
1231,0,1777476413138485280,0
1231,1,1584593358140,0
1231,2,1471742338775,0
1241,0,1777476422752053440,0
1241,1,1594901256998,0
1241,2,1481795574488,0
1251,0,1777476432357749440,0
1251,1,1605200009053,0
1251,2,1491840227348,0
1261,0,1777476441966227280,0
1261,1,1615502439007,0
1261,2,1501888226718,0
1271,0,1777476451575549760,0
1271,1,1625805647058,0
1271,2,1511937004862,0
1281,0,1777476461178113040,0
1281,1,1636101269628,0
1281,2,1521978254529,0
1291,0,1777476470785333600,0
1291,1,1646402132298,0
1291,2,1532024920663,0
1301,0,1777476480399165920,0
1301,1,1656709617829,0
1301,2,1542077731137,0
1311,0,1777476490006557440,0
1311,1,1667010817167,0
1311,2,1552124596269,0
1321,0,1777476499615414480,0
1321,1,1677313521194,0
1321,2,1562173072197,0
1331,0,1777476509219001600,0
1331,1,1687610334877,0
1331,2,1572215645606,0
1341,0,1777476518832225840,0
1341,1,1697917331754,0
1341,2,1582268238691,0
1351,0,1777476528438163440,0
1351,1,1708216839362,0
1351,2,1592313305128,0
1361,0,1777476538051676720,0
1361,1,1718524332687,0
1361,2,1602366261916,0
1371,0,1777476547659294160,0
1371,1,1728825546760,0
1371,2,1612413232386,0
1381,0,1777476557271388480,0
1381,1,1739131881034,0
1381,2,1622464568355,0
1391,0,1777476566882902240,0
1391,1,1749437040401,0
1391,2,1632515410144,0
1401,0,1777476576490506160,0
1401,1,1759737962226,0
1401,2,1642562350465,0
1411,0,1777476586099132080,0
1411,1,1770040162369,0
1411,2,1652610140637,0
1421,0,1777476595707769440,0
1421,1,1780342672250,0
1421,2,1662658326605,0
1431,0,1777476605319259840,0
1431,1,1790647927089,0
1431,2,1672709071924,0
1441,0,1777476614923656320,0
1441,1,1800945740636,0
1441,2,1682752381252,0
1451,0,1777476624526004720,0
1451,1,1811241232721,0
1451,2,1692794134992,0
1461,0,1777476634139256080,0
1461,1,1821548357712,0
1461,2,1702846661304,0
1471,0,1777476643751272560,0
1471,1,1831854532536,0
1471,2,1712898523288,0
1481,0,1777476653357283600,0
1481,1,1842153938768,0
1481,2,1722943783937,0
1491,0,1777476662962040320,0
1491,1,1852451966646,0
1491,2,1732987080898,0
1501,0,1777476672565605280,0
1501,1,1862748825025,0
1501,2,1743029782373,0
1511,0,1777476682167760480,0
1511,1,1873044261446,0
1511,2,1753071232788,0
1521,0,1777476691767687440,0
1521,1,1883336974726,0
1521,2,1763109498974,0
1531,0,1777476701374983360,0
1531,1,1893637919417,0
1531,2,1773156153704,0
1541,0,1777476710983476880,0
1541,1,1903940140864,0
1541,2,1783203978346,0
1551,0,1777476720591243600,0
1551,1,1914241313792,0
1551,2,1793250960028,0
1561,0,1777476730194250320,0
1561,1,1924537600817,0
1561,2,1803292947605,0
1571,0,1777476739808963040,0
1571,1,1934846333685,0
1571,2,1813347077967,0
1581,0,1777476749422582560,0
1581,1,1945154047368,0
1581,2,1823400288413,0
1591,0,1777476759023310000,0
1591,1,1955447564033,0
1591,2,1833439835166,0
1601,0,1777476768637206880,0
1601,1,1965755841185,0
1601,2,1843493553685,0
1611,0,1777476778242240560,0
1611,1,1976054065871,0
1611,2,1853537416206,0
1621,0,1777476787857531840,0
1621,1,1986363706147,0
1621,2,1863592549751,0
1631,0,1777476797460183840,0
1631,1,1996659778558,0
1631,2,1873633992858,0
1641,0,1777476807067406800,0
1641,1,2006960388597,0
1641,2,1883680757664,0
1651,0,1777476816671962400,0
1651,1,2017258325416,0
1651,2,1893724640344,0
1661,0,1777476826281083440,0
1661,1,2027561073856,0
1661,2,1903772809077,0
1671,0,1777476835895065760,0
1671,1,2037869199897,0
1671,2,1913826447958,0
1681,0,1777476845501555120,0
1681,1,2048169323015,0
1681,2,1923871613004,0
1691,0,1777476855108665120,0
1691,1,2058469561282,0
1691,2,1933917923064,0
1701,0,1777476864708745440,0
1701,1,2068762954148,0
1701,2,1943957036370,0
1711,0,1777476874312430880,0
1711,1,2079059543171,0
1711,2,1953999539634,0
1721,0,1777476883919755920,0
1721,1,2089360591918,0
1721,2,1964046102438,0
1731,0,1777476893532086160,0
1731,1,2099666960861,0
1731,2,1974097860401,0
1741,0,1777476903143472320,0
1741,1,2109971950356,0
1741,2,1984148831976,0
1751,0,1777476912752389760,0
1751,1,2120274760298,0
1751,2,1994197452948,0
1761,0,1777476922352865360,0
1761,1,2130568159969,0
1761,2,2004236384956,0
1771,0,1777476931961975760,0
1771,1,2140871178833,0
1771,2,2014284686092,0
1781,0,1777476941566380000,0
1781,1,2151168800538,0
1781,2,2024328534125,0
1791,0,1777476951178483200,0
1791,1,2161474844376,0
1791,2,2034380239563,0
1801,0,1777476960789632800,0
1801,1,2171779684710,0
1801,2,2044430456024,0
1811,0,1777476970398267200,0
1811,1,2182081991511,0
1811,2,2054478346169,0
1821,0,1777476980003824960,0
1821,1,2192381090095,0
1821,2,2064523303719,0
1831,0,1777476989616267360,0
1831,1,2202687223614,0
1831,2,2074574809195,0
1841,0,1777476999223803920,0
1841,1,2212988969773,0
1841,2,2084621680078,0
1851,0,1777477008835596480,0
1851,1,2223294144034,0
1851,2,2094673039177,0
1861,0,1777477018448463600,0
1861,1,2233600863821,0
1861,2,2104725140379,0
1871,0,1777477028058627280,0
1871,1,2243904676604,0
1871,2,2114774475458,0
1881,0,1777477037666657120,0
1881,1,2254206577734,0
1881,2,2124822280680,0
1891,0,1777477047268948000,0
1891,1,2264502065340,0
1891,2,2134863513465,0
1901,0,1777477056875068720,0
1901,1,2274801399670,0
1901,2,2144908432754,0
1911,0,1777477066489097440,0
1911,1,2285109717078,0
1911,2,2154962436704,0
1921,0,1777477076091053520,0
1921,1,2295404773525,0
1921,2,2165002811510,0
1931,0,1777477085698479920,0
1931,1,2305706012427,0
1931,2,2175049513223,0
1941,0,1777477095302290560,0
1941,1,2316002518803,0
1941,2,2185092390984,0
1951,0,1777477104911524160,0
1951,1,2326305745424,0
1951,2,2195140801072,0
1961,0,1777477114522412560,0
1961,1,2336610090272,0
1961,2,2205190971771,0
1971,0,1777477124127253680,0
1971,1,2346908959795,0
1971,2,2215237035433,0
1981,0,1777477133727255360,0
1981,1,2357201897235,0
1981,2,2225274167204,0
1991,0,1777477143327710880,0
1991,1,2367495016647,0
1991,2,2235313320232,0
2001,0,1777477152929882320,0
2001,1,2377790439129,0
2001,2,2245354570878,0
