elapsed_s,adapter,phc_ns,delta_ns
0,0,1777400462608849420,0
0,1,331474925034,0
0,2,246528278218,0
10,0,1777400472222446380,0
10,1,341782691997,0
10,2,256581678812,0
20,0,1777400481828043100,0
20,1,352081494063,0
20,2,266626086607,0
30,0,1777400491432628540,0
30,1,362379355936,0
30,2,276669671182,0
40,0,1777400501033801900,0
40,1,372673904006,0
40,2,286710128518,0
50,0,1777400510637392460,0
50,1,382970832542,0
50,2,296752524918,0
60,0,1777400520248690780,0
60,1,393275796629,0
60,2,306803450377,0
70,0,1777400529858141820,0
70,1,403578983289,0
70,2,316852169845,0
80,0,1777400539463497980,0
80,1,413877695200,0
80,2,326896540520,0
90,0,1777400549072787900,0
90,1,424180745084,0
90,2,336945182245,0
100,0,1777400558683103740,0
100,1,434484784675,0
100,2,346995093181,0
110,0,1777400568294716620,0
110,1,444790396148,0
110,2,357046036453,0
120,0,1777400577896481740,0
120,1,455085202929,0
120,2,367086452026,0
130,0,1777400587500438780,0
130,1,465382479377,0
130,2,377129592297,0
140,0,1777400597111313580,0
140,1,475687045889,0
140,2,387179662974,0
150,0,1777400606715178060,0
150,1,485984264841,0
150,2,397222650700,0
160,0,1777400616315741260,0
160,1,496277702582,0
160,2,407262007770,0
170,0,1777400625921742940,0
170,1,506577328462,0
170,2,417307313089,0
180,0,1777400635530688380,0
180,1,516879756637,0
180,2,427355305809,0
190,0,1777400645134459820,0
190,1,527177222792,0
190,2,437398541346,0
200,0,1777400654743088220,0
200,1,537479255534,0
200,2,447446245182,0
210,0,1777400664357482620,0
210,1,547787750317,0
210,2,457500200511,0
220,0,1777400673957529260,0
220,1,558080820290,0
220,2,467539032755,0
230,0,1777400683560173900,0
230,1,568376647936,0
230,2,477580731673,0
240,0,1777400693172920300,0
240,1,578683254998,0
240,2,487633001548,0
250,0,1777400702780860780,0
250,1,588984944913,0
250,2,497680377452,0
260,0,1777400712389844060,0
260,1,599287726969,0
260,2,507728881907,0
270,0,1777400721991646540,0
270,1,609582639025,0
270,2,517769468433,0
280,0,1777400731592379660,0
280,1,619876361247,0
280,2,527808928111,0
290,0,1777400741202307340,0
290,1,630180063973,0
290,2,537858204610,0
300,0,1777400750805013660,0
300,1,640476041524,0
300,2,547899977271,0
310,0,1777400760418720620,0
310,1,650783711321,0
310,2,557953202736,0
320,0,1777400770024215820,0
320,1,661082586614,0
320,2,567998108147,0
330,0,1777400779627402620,0
330,1,671378997438,0
330,2,578039907119,0
340,0,1777400789236043100,0
340,1,681681368916,0
340,2,588088124376,0
350,0,1777400798845450700,0
350,1,691984452812,0
350,2,598136654403,0
360,0,1777400808445742140,0
360,1,702277688250,0
360,2,608175684071,0
370,0,1777400818046639820,0
370,1,712571628057,0
370,2,618215442752,0
380,0,1777400827659647500,0
380,1,722878697502,0
380,2,628268193956,0
390,0,1777400837267486780,0
390,1,733180127560,0
390,2,638315181581,0
400,0,1777400846867741020,0
400,1,743473376885,0
400,2,648354554360,0
410,0,1777400856477790460,0
410,1,753777231228,0
410,2,658403693541,0
420,0,1777400866085217500,0
420,1,764078169272,0
420,2,668450456676,0
430,0,1777400875697893420,0
430,1,774384812111,0
430,2,678502494175,0
440,0,1777400885310803500,0
440,1,784691558024,0
440,2,688555045496,0
450,0,1777400894913819020,0
450,1,794988068254,0
450,2,698597105741,0
460,0,1777400904528229260,0
460,1,805296331288,0
460,2,708650675810,0
470,0,1777400914133846700,0
470,1,815595356059,0
470,2,718695815782,0
480,0,1777400923744723180,0
480,1,825900128983,0
480,2,728746158558,0
490,0,1777400933356040220,0
490,1,836205094111,0
490,2,738796271368,0
500,0,1777400942965939900,0
500,1,846508736567,0
500,2,748845658007,0
510,0,1777400952580085500,0
510,1,856817098776,0
510,2,758899457739,0
520,0,1777400962189989420,0
520,1,867120888312,0
520,2,768948863943,0
530,0,1777400971798711820,0
530,1,877423248781,0
530,2,778997138656,0
540,0,1777400981409434860,0
540,1,887727775544,0
540,2,789047001227,0
550,0,1777400991009395660,0
550,1,898020619177,0
550,2,799085467552,0
560,0,1777401000620828780,0
560,1,908325735666,0
560,2,809136246152,0
570,0,1777401010220909740,0
570,1,918618957231,0
570,2,819175405155,0
580,0,1777401019827591020,0
580,1,928919092773,0
580,2,829221146571,0
590,0,1777401029435378220,0
590,1,939220488398,0
590,2,839268473982,0
600,0,1777401039048685900,0
600,1,949527760395,0
600,2,849321099673,0
610,0,1777401048649380780,0
610,1,959821623148,0
610,2,859360716458,0
620,0,1777401058260893340,0
620,1,970127177936,0
620,2,869411727868,0
630,0,1777401067868218220,0
630,1,980428237592,0
630,2,879458114161,0
640,0,1777401077477918300,0
640,1,990731139778,0
640,2,889507107655,0
650,0,1777401087082558140,0
650,1,1001029169612,0
650,2,899551111542,0
660,0,1777401096690480220,0
660,1,1011330835476,0
660,2,909598166550,0
670,0,1777401106298644300,0
670,1,1021632592656,0
670,2,919645286530,0
680,0,1777401115909812060,0
680,1,1031937547936,0
680,2,929696028379,0
690,0,1777401125517807820,0
690,1,1042239118663,0
690,2,939743247866,0
700,0,1777401135124895420,0
700,1,1052540027689,0
700,2,949789434647,0
