elapsed_s,adapter,phc_ns,delta_ns
0,1,22844068,0
0,2,6129555,0
5,1,5087956540,0
5,2,5159592503,0
10,1,10146718931,0
10,2,10306457537,0
15,1,15204995536,0
15,2,15452724465,0
20,1,20263687641,0
20,2,20599426636,0
25,1,25322121766,0
25,2,25745820868,0
30,1,30380477754,0
30,2,30892303991,0
35,1,35439103507,0
35,2,36038808530,0
40,1,40497513092,0
40,2,41185267767,0
45,1,45556001672,0
45,2,46331795653,0
50,1,50614410852,0
50,2,51478133746,0
55,1,55673066503,0
55,2,56624859717,0
60,1,60732403647,0
60,2,61772080404,0
65,1,65790936791,0
65,2,66918782186,0
70,1,70848847089,0
70,2,72064715503,0
75,1,75907393474,0
75,2,77211310970,0
80,1,80966538830,0
80,2,82358287866,0
85,1,86028088304,0
85,2,87508012309,0
90,1,91099790643,0
90,2,92667715906,0
95,1,96157654806,0
95,2,97813441507,0
100,1,101216363099,0
100,2,102960455530,0
105,1,106275628759,0
105,2,108107768474,0
110,1,111334598448,0
110,2,113254534695,0
115,1,116410034418,0
115,2,118418361843,0
120,1,121468969983,0
120,2,123565364042,0
125,1,126542858444,0
125,2,128727747466,0
130,1,131602932670,0
130,2,133875617917,0
135,1,136662471900,0
135,2,139023412348,0
140,1,141729906210,0
140,2,144178930459,0
145,1,146792217290,0
145,2,149332555229,0
150,1,151853066962,0
150,2,154477937384,0
155,1,156918338979,0
155,2,159631628530,0
160,1,161977086218,0
160,2,164778322526,0
165,1,167040845642,0
165,2,169930212386,0
170,1,172104478399,0
170,2,175081731673,0
175,1,177163536002,0
175,2,180229248474,0
