elapsed_s,adapter,phc_ns,delta_ns
0,0,25278554,0
5,0,5176480284,0
10,0,10336971153,0
15,0,15488560551,0
20,0,20646248076,0
25,0,25804394270,0
30,0,30961364074,0
35,0,36115001716,0
40,0,41266423758,0
45,0,46426494971,0
50,0,51573017428,0
55,0,56721450155,0
60,0,61878455407,0
65,0,67040934146,0
70,0,72198471918,0
75,0,77356828601,0
80,0,82514181759,0
85,0,87668300104,0
90,0,92823353222,0
95,0,97977987468,0
100,0,103131035002,0
105,0,108293494671,0
110,0,113446737689,0
115,0,118594766055,0
120,0,123753953904,0
125,0,128912213290,0
130,0,134066482970,0
135,0,139221480213,0
140,0,144378592867,0
145,0,149535429578,0
150,0,154693005643,0
155,0,159848487370,0
160,0,165003213155,0
165,0,170159963629,0
170,0,175320085512,0
175,0,180470728016,0
180,0,185628037142,0
185,0,190789591471,0
190,0,195941808506,0
195,0,201100890862,0
200,0,206257097643,0
205,0,211410638014,0
210,0,216558176224,0
215,0,221709531739,0
220,0,226859226526,0
225,0,232019727507,0
230,0,237179957293,0
235,0,242328659594,0
240,0,247483802447,0
245,0,252640144575,0
250,0,257795449362,0
255,0,262950730684,0
260,0,268111190546,0
265,0,273268626923,0
270,0,278424237956,0
275,0,283572001360,0
280,0,288724527514,0
285,0,293881802879,0
290,0,299034014051,0
295,0,304183668739,0
