elapsed_s,adapter,phc_ns,delta_ns
0,0,19168727,0
5,0,5178664969,0
10,0,10333480232,0
15,0,15481374918,0
20,0,20639130150,0
25,0,25791339833,0
30,0,30939806071,0
35,0,36095308918,0
40,0,41251364265,0
45,0,46400341528,0
50,0,51547242997,0
55,0,56701210384,0
60,0,61858787219,0
65,0,67015326161,0
70,0,72174441053,0
75,0,77335790082,0
80,0,82488240157,0
85,0,87647941145,0
90,0,92804896891,0
95,0,97961220132,0
100,0,103114537214,0
105,0,108269453780,0
110,0,113428966207,0
115,0,118586489500,0
120,0,123745078795,0
125,0,128897869581,0
130,0,134056983762,0
135,0,139212283219,0
140,0,144370074083,0
145,0,149609852675,0
150,0,154677912665,0
155,0,159828304528,0
160,0,164980811044,0
165,0,170138392662,0
170,0,175293269347,0
175,0,180445560893,0
