elapsed_s,adapter,phc_ns,delta_ns
0,0,163625818674,0
10,0,163725946953,0
20,0,163825953488,0
30,0,163925970168,0
40,0,164026029469,0
50,0,164126045822,0
60,0,164226152304,0
70,0,164326304358,0
80,0,164426452695,0
90,0,164526497964,0
100,0,164626537066,0
110,0,164726700729,0
120,0,164826855753,0
130,0,164926926939,0
140,0,165026981947,0
150,0,165127040331,0
160,0,165227048925,0
170,0,165327097611,0
180,0,165427199882,0
190,0,165527225574,0
200,0,165627262673,0
210,0,165727356116,0
220,0,165827380555,0
230,0,165927421871,0
240,0,166027509164,0
250,0,166127628709,0
260,0,166227751136,0
270,0,166327908738,0
280,0,166428012256,0
290,0,166528125498,0
300,0,166628123751,0
310,0,166728221310,0
320,0,166828346049,0
330,0,166928432150,0
340,0,167028492677,0
350,0,167128580968,0
360,0,167228712707,0
370,0,167328819336,0
380,0,167428925294,0
390,0,167529039000,0
400,0,167629195657,0
410,0,167729303538,0
420,0,167829356171,0
430,0,167929419115,0
440,0,168029545106,0
450,0,168129618269,0
460,0,168229721847,0
470,0,168329862270,0
480,0,168429924203,0
490,0,168530153284,0
500,0,168629990510,0
510,0,168730054787,0
520,0,168830183366,0
530,0,168930274015,0
540,0,169030401808,0
550,0,169130438985,0
560,0,169230513498,0
570,0,169330517179,0
580,0,169430625440,0
590,0,169531365073,0
600,0,169630848102,0
610,0,169730887978,0
620,0,169831001740,0
630,0,169931029350,0
640,0,170031039243,0
650,0,170131046419,0
660,0,170231170852,0
670,0,170331215611,0
680,0,170431271643,0
690,0,170531379165,0
700,0,170631458444,0
710,0,170731543789,0
720,0,170831677242,0
730,0,170931773569,0
740,0,171031770201,0
750,0,171131928923,0
760,0,171232051475,0
770,0,171332065984,0
780,0,171432101860,0
790,0,171532265242,0
800,0,171632381166,0
810,0,171732452218,0
820,0,171832601382,0
830,0,171932697915,0
840,0,172032772988,0
850,0,172132932085,0
860,0,172233100298,0
870,0,172333261954,0
880,0,172433259422,0
890,0,172533632587,0
900,0,172633484146,0
910,0,172733582736,0
920,0,172833805637,0
930,0,172933842038,0
940,0,173034601652,0
950,0,173134031730,0
960,0,173234075572,0
970,0,173334082136,0
980,0,173434079437,0
990,0,173534245623,0
1000,0,173634380619,0
1010,0,173734490603,0
1020,0,173834549456,0
1030,0,173934563091,0
1040,0,174034561282,0
1050,0,174134576373,0
1060,0,174234576024,0
1070,0,174335312548,0
1080,0,174435057937,0
1090,0,174535243431,0
1100,0,174635366832,0
1110,0,174735497453,0
1120,0,174835573112,0
1131,0,174936334215,0
1141,0,175035993673,0
1151,0,175136012603,0
1161,0,175236009577,0
1171,0,175336048458,0
1181,0,175436176690,0
1191,0,175537005350,0
1201,0,175636640369,0
1211,0,175736643114,0
1221,0,175836734427,0
1231,0,175936876702,0
1241,0,176036977691,0
1251,0,176137116902,0
1261,0,176237153093,0
1271,0,176337220785,0
1281,0,176437264982,0
1291,0,176537415698,0
1301,0,176637566685,0
1311,0,176738053769,0
1321,0,176837937598,0
1331,0,176938017861,0
1341,0,177038139845,0
1351,0,177138143580,0
1361,0,177238164084,0
1371,0,177338747557,0
