elapsed_s,adapter,phc_ns,delta_ns
0,0,18713471,0
5,0,5172442370,0
10,0,10326584049,0
15,0,15488046251,0
20,0,20637342310,0
25,0,25786715633,0
30,0,30937427252,0
35,0,36089544144,0
40,0,41238393504,0
45,0,46395123675,0
50,0,51549122931,0
55,0,56859363156,0
60,0,61924209704,0
65,0,67074233635,0
70,0,72227431378,0
75,0,77376987438,0
80,0,82524697747,0
85,0,87681709526,0
90,0,92834766962,0
95,0,97985632643,0
100,0,103139450862,0
105,0,108292442686,0
110,0,113445670777,0
115,0,118592895752,0
120,0,123744706568,0
125,0,128902095502,0
130,0,134062391032,0
135,0,139211079479,0
140,0,144358501407,0
145,0,149518961341,0
150,0,154666695971,0
155,0,159822930465,0
160,0,164977811821,0
165,0,170124647138,0
170,0,175286085679,0
175,0,180432701336,0
180,0,185580284440,0
185,0,190741935071,0
190,0,195895794522,0
195,0,201055577794,0
200,0,206217016914,0
205,0,211363501157,0
210,0,216510721053,0
215,0,221673354355,0
220,0,226824202929,0
225,0,231968446368,0
230,0,237131173180,0
235,0,242278695817,0
240,0,247426575451,0
245,0,252573937874,0
250,0,257727142994,0
255,0,262881765837,0
260,0,268029772023,0
265,0,273177124940,0
270,0,278336505888,0
275,0,283483293176,0
280,0,288634520511,0
285,0,293793060202,0
290,0,298939413354,0
295,0,304088518171,0
