elapsed_s,adapter,phc_ns,delta_ns
0,0,808435488249,0
0,1,808424143764,0
0,2,808403682349,0
0,3,808388000938,0
0,4,808373195979,0
0,5,528940110209,0
10,0,818745079930,0
10,1,818725886629,0
10,2,818705262312,0
10,3,818689174472,0
10,4,818675013362,0
10,5,539241437745,0
20,0,829035791176,0
20,1,829027024255,0
20,2,829004637511,0
20,3,828988792032,0
20,4,828974846452,0
20,5,549539613249,0
30,0,839349027977,0
30,1,839329925525,0
30,2,839309685292,0
30,3,839293068568,0
30,4,839279202354,0
30,5,559845690689,0
40,0,849644733432,0
40,1,849633815612,0
40,2,849612759801,0
40,3,849596593892,0
40,4,849582260374,0
40,5,570148524154,0
50,0,859953879534,0
50,1,859933973551,0
50,2,859913070484,0
50,3,859897064085,0
50,4,859883201593,0
50,5,580449010395,0
60,0,870257851991,0
60,1,870238688236,0
60,2,870216290946,0
60,3,870200512902,0
60,4,870186499056,0
60,5,590751260741,0
70,0,880558731558,0
70,1,880539375467,0
70,2,880518572919,0
70,3,880502835177,0
70,4,880488830870,0
70,5,601055063129,0
80,0,890862164486,0
80,1,890843144469,0
80,2,890822052381,0
80,3,890806040764,0
80,4,890792054836,0
80,5,611358422165,0
90,0,901154882706,0
90,1,901136545346,0
90,2,901115474680,0
90,3,901099425712,0
90,4,901085312902,0
90,5,621651598942,0
100,0,911452512146,0
100,1,911435466258,0
100,2,911414185260,0
100,3,911398155040,0
100,4,911384014193,0
100,5,631950026852,0
110,0,921755700849,0
110,1,921737159493,0
110,2,921714394594,0
110,3,921698688552,0
110,4,921684772425,0
110,5,642249225875,0
120,0,932053963419,0
120,1,932033771902,0
120,2,932011300726,0
120,3,931995527076,0
120,4,931980333290,0
120,5,652547780515,0
130,0,942349970403,0
130,1,942330692335,0
130,2,942307705128,0
130,3,942291962334,0
130,4,942278191158,0
130,5,662842570393,0
140,0,952653481090,0
140,1,952632721275,0
140,2,952611235669,0
140,3,952595259309,0
140,4,952581442936,0
140,5,673147426563,0
150,0,962950182172,0
150,1,962940500017,0
150,2,962919250947,0
150,3,962903602486,0
150,4,962889897337,0
150,5,683456027411,0
160,0,973261246963,0
160,1,973243765220,0
160,2,973220917398,0
160,3,973205022057,0
160,4,973191210625,0
160,5,693755630729,0
170,0,983567927284,0
170,1,983549804743,0
170,2,983528200120,0
170,3,983512396523,0
170,4,983498651967,0
170,5,704064494385,0
180,0,993867916425,0
180,1,993858259177,0
180,2,993836775079,0
180,3,993821118595,0
180,4,993807883489,0
180,5,714373023291,0
190,0,1004162648491,0
190,1,1004152737064,0
190,2,1004130815971,0
190,3,1004114853780,0
190,4,1004101166911,0
190,5,724666976194,0
200,0,1014468398559,0
200,1,1014447318045,0
200,2,1014426073139,0
200,3,1014409521644,0
200,4,1014396204947,0
200,5,734962108496,0
210,0,1024760187138,0
210,1,1024750675388,0
210,2,1024729091700,0
210,3,1024713465136,0
210,4,1024699802200,0
210,5,745265729359,0
220,0,1035066631594,0
220,1,1035057099456,0
220,2,1035035159200,0
220,3,1035019440418,0
220,4,1035005671462,0
220,5,755571410831,0
230,0,1045368666187,0
230,1,1045359115959,0
230,2,1045337142799,0
230,3,1045321473014,0
230,4,1045307785756,0
230,5,765873507978,0
240,0,1055673425363,0
240,1,1055664003499,0
240,2,1055642128750,0
240,3,1055626536592,0
240,4,1055613080667,0
240,5,776178896557,0
250,0,1065981233135,0
250,1,1065971799309,0
250,2,1065949781643,0
250,3,1065933937771,0
250,4,1065920857209,0
250,5,786485717864,0
260,0,1076275560162,0
260,1,1076266146710,0
260,2,1076243785402,0
260,3,1076227912518,0
260,4,1076214117001,0
260,5,796779621381,0
270,0,1086572498507,0
270,1,1086563251673,0
270,2,1086541130979,0
270,3,1086525440114,0
270,4,1086511815088,0
270,5,807077319718,0
280,0,1096875313362,0
280,1,1096866682940,0
280,2,1096843535426,0
280,3,1096827680665,0
280,4,1096813154364,0
280,5,817379307573,0
290,0,1107174703574,0
290,1,1107165489882,0
290,2,1107143308425,0
290,3,1107127483650,0
290,4,1107114069977,0
290,5,827679884148,0
300,0,1117481638905,0
300,1,1117472597574,0
300,2,1117450328701,0
300,3,1117434865165,0
300,4,1117421565878,0
300,5,837987237336,0
310,0,1127786146221,0
310,1,1127777155601,0
310,2,1127754752540,0
310,3,1127739041492,0
310,4,1127725538229,0
310,5,848290975805,0
320,0,1138094292551,0
320,1,1138075082137,0
320,2,1138050811731,0
320,3,1138035208532,0
320,4,1138021785848,0
320,5,858585277009,0
330,0,1148379511674,0
330,1,1148370762815,0
330,2,1148348253097,0
330,3,1148332688607,0
330,4,1148319320605,0
330,5,868884752687,0
340,0,1158673444234,0
340,1,1158664650752,0
340,2,1158642097694,0
340,3,1158626516979,0
340,4,1158613056200,0
340,5,879178355227,0
350,0,1168979980540,0
350,1,1168971010717,0
350,2,1168949557943,0
350,3,1168932587430,0
350,4,1168919129220,0
350,5,889483238789,0
360,0,1179277791972,0
360,1,1179270331872,0
360,2,1179246148955,0
360,3,1179230555645,0
360,4,1179215771878,0
360,5,899782510175,0
370,0,1189584964393,0
370,1,1189576142420,0
370,2,1189553241549,0
370,3,1189537569412,0
370,4,1189524181952,0
370,5,910089411659,0
380,0,1199885049106,0
380,1,1199877934487,0
380,2,1199853626605,0
380,3,1199838035416,0
380,4,1199823258236,0
380,5,920389907570,0
390,0,1210180922963,0
390,1,1210173808252,0
390,2,1210149270868,0
390,3,1210133582507,0
390,4,1210120120272,0
390,5,930683774466,0
400,0,1220479524888,0
400,1,1220471245291,0
400,2,1220448206905,0
400,3,1220432659595,0
400,4,1220419340500,0
400,5,940984375204,0
410,0,1230775881715,0
410,1,1230767486631,0
410,2,1230744382997,0
410,3,1230728772691,0
410,4,1230715473358,0
410,5,951280564978,0
420,0,1241074588289,0
420,1,1241067712679,0
420,2,1241043094156,0
420,3,1241027555535,0
420,4,1241012832004,0
420,5,961579365312,0
430,0,1251371345043,0
430,1,1251363213453,0
430,2,1251340044582,0
430,3,1251324521080,0
430,4,1251311237023,0
430,5,971876265877,0
440,0,1261665500267,0
440,1,1261658275117,0
440,2,1261633693768,0
440,3,1261617993029,0
440,4,1261604559640,0
440,5,982168258946,0
450,0,1271964998106,0
450,1,1271956772328,0
450,2,1271933203530,0
450,3,1271917686793,0
450,4,1271904523163,0
450,5,992469459133,0
460,0,1282262567928,0
460,1,1282256166993,0
460,2,1282231132160,0
460,3,1282215655436,0
460,4,1282202371148,0
460,5,1002765395947,0
470,0,1292564218503,0
470,1,1292555982020,0
470,2,1292532492556,0
470,3,1292516932914,0
470,4,1292503615525,0
470,5,1013068393626,0
480,0,1302867438351,0
480,1,1302859534346,0
480,2,1302836020712,0
480,3,1302820515536,0
480,4,1302807371424,0
480,5,1023372046609,0
490,0,1313162287464,0
490,1,1313154248395,0
490,2,1313130690388,0
490,3,1313115117275,0
490,4,1313102011509,0
490,5,1033666726482,0
500,0,1323455959897,0
500,1,1323447789217,0
500,2,1323423835960,0
500,3,1323408593414,0
500,4,1323394488713,0
