elapsed_s,adapter,phc_ns,delta_ns
0,0,20471150317,0
10,0,20571209004,0
20,0,20671327534,0
30,0,20771414698,0
40,0,20871520734,0
50,0,20971616597,0
60,0,21071663069,0
70,0,21171766130,0
80,0,21271851001,0
90,0,21371908522,0
100,0,21471964406,0
110,0,21572003422,0
120,0,21672075590,0
130,0,21772142928,0
140,0,21872243478,0
150,0,21972243519,0
160,0,22072244877,0
170,0,22172241605,0
180,0,22272238783,0
190,0,22372238614,0
200,0,22472240599,0
210,0,22572319184,0
220,0,22672332302,0
230,0,22772334416,0
240,0,22872334379,0
250,0,22972332192,0
260,0,23072383809,0
270,0,23172385234,0
280,0,23272386825,0
290,0,23372387525,0
300,0,23472387919,0
310,0,23572387319,0
320,0,23672401260,0
330,0,23772415299,0
340,0,23872414595,0
350,0,23972414906,0
360,0,24072415483,0
370,0,24172415258,0
380,0,24272416193,0
390,0,24372415876,0
400,0,24472414713,0
410,0,24572484795,0
420,0,24672499204,0
430,0,24772497985,0
440,0,24872498035,0
450,0,24972504035,0
460,0,25072503330,0
470,0,25172503509,0
480,0,25276180607,0
490,0,25374492182,0
500,0,25472741028,0
510,0,25572810212,0
520,0,25672807734,0
530,0,25772967644,0
540,0,25873145653,0
550,0,25973048865,0
560,0,26073132369,0
570,0,26173217256,0
580,0,26273214980,0
590,0,26373215725,0
600,0,26473284334,0
610,0,26573304465,0
620,0,26673350696,0
630,0,26773349387,0
640,0,26875676264,0
650,0,26973453112,0
660,0,27073570398,0
670,0,27173569831,0
680,0,27273571289,0
690,0,27373570166,0
700,0,27473665344,0
710,0,27573698488,0
720,0,27676084735,0
730,0,27773757499,0
740,0,27873758185,0
750,0,27973759150,0
760,0,28073895041,0
770,0,28173893762,0
780,0,28274643856,0
790,0,28373994822,0
800,0,28477000014,0
810,0,28575655846,0
820,0,28673999022,0
830,0,28774124223,0
840,0,28874185942,0
850,0,28975461194,0
860,0,29074331998,0
870,0,29176785161,0
880,0,29274429241,0
890,0,29374517024,0
900,0,29474517900,0
910,0,29574639423,0
920,0,29674697059,0
930,0,29774698115,0
940,0,29874750698,0
950,0,29974750733,0
960,0,30075941779,0
970,0,30174773154,0
980,0,30274841253,0
990,0,30374841623,0
1000,0,30474975436,0
1010,0,30576270882,0
1020,0,30675037362,0
1030,0,30775037076,0
1040,0,30875038495,0
1050,0,30975173066,0
1060,0,31075173761,0
1070,0,31175166635,0
1080,0,31275167042,0
1090,0,31375216314,0
1100,0,31475248989,0
1110,0,31577088386,0
1120,0,31675373941,0
1130,0,31775492409,0
1140,0,31875511839,0
1150,0,31975600160,0
1160,0,32075694758,0
1170,0,32175727739,0
1180,0,32275814043,0
1190,0,32375875407,0
1200,0,32475907409,0
1210,0,32576031916,0
1220,0,32676095402,0
1230,0,32776099927,0
1240,0,32876097353,0
1250,0,32976097387,0
1260,0,33076317070,0
1270,0,33176096088,0
1280,0,33276096194,0
1290,0,33376148448,0
