elapsed_s,adapter,phc_ns,delta_ns
0,0,90399009,0
0,1,73292136,0
10,0,10328125346,0
10,1,10135940145,0
20,0,20625528788,0
20,1,20257067763,0
30,0,30927308148,0
30,1,30382754365,0
40,0,41227509005,0
40,1,40506884910,0
50,0,51522410435,0
50,1,50625525109,0
60,0,61826136368,0
60,1,60753474593,0
70,0,72119457536,0
70,1,70870587404,0
80,0,82415660512,0
80,1,80990528932,0
90,0,92717811196,0
90,1,91116891264,0
100,0,103016064010,0
100,1,101238720546,0
110,0,113312780409,0
110,1,111359564705,0
120,0,123616218956,0
120,1,121486841129,0
130,0,133912909828,0
130,1,131608342646,0
140,0,144212344861,0
140,1,141730646918,0
150,0,154519634079,0
150,1,151862091704,0
160,0,164829439662,0
160,1,161995185349,0
170,0,175228577924,0
170,1,172225142955,0
180,0,185463565027,0
180,1,182276437649,0
190,0,195759552914,0
190,1,192396243397,0
200,0,206068439205,0
200,1,202528996716,0
210,0,216365238916,0
210,1,212649389519,0
220,0,226673010391,0
220,1,222781402519,0
230,0,236971244016,0
230,1,232903344368,0
240,0,247272262434,0
240,1,243028123417,0
250,0,257573800276,0
250,1,253153648759,0
260,0,267867678806,0
260,1,263271387589,0
270,0,278172730454,0
270,1,273400359767,0
280,0,288483264615,0
280,1,283534502912,0
290,0,298782914447,0
290,1,293657975840,0
