elapsed_s,adapter,phc_ns,delta_ns
0,0,21774419,0
0,1,6709954,0
10,0,10314183818,0
10,1,10122990873,0
20,0,20607633587,0
20,1,20240488186,0
30,0,30902047661,0
30,1,30358827281,0
40,0,41196765873,0
40,1,40477375826,0
50,0,51503049449,0
50,1,50607361115,0
60,0,61799612853,0
60,1,60727949463,0
70,0,72099928082,0
70,1,70852155960,0
80,0,82399471427,0
80,1,80975532087,0
90,0,92703341271,0
90,1,91103226602,0
100,0,103011636439,0
100,1,101235174917,0
110,0,113317387435,0
110,1,111364637106,0
120,0,123609595553,0
120,1,121480842171,0
130,0,133903167422,0
130,1,131598527307,0
140,0,144198719697,0
140,1,141717978920,0
150,0,154506139208,0
150,1,151849171716,0
160,0,164804834690,0
160,1,161971861962,0
170,0,175111859248,0
170,1,172102463671,0
180,0,185409680278,0
180,1,182224339443,0
190,0,195718415715,0
190,1,192356725792,0
200,0,206022361203,0
200,1,202484174467,0
210,0,216322161724,0
210,1,212608182991,0
220,0,226622466795,0
220,1,222732331780,0
230,0,236914871266,0
230,1,232848668886,0
240,0,247207788430,0
240,1,242965585132,0
250,0,257517783252,0
250,1,253099260782,0
260,0,267831477186,0
260,1,263236509580,0
270,0,278115501877,0
270,1,273344736992,0
280,0,288414120106,0
280,1,283467156016,0
290,0,298709951843,0
290,1,293586955968,0
