elapsed_s,adapter,phc_ns,delta_ns
0,0,19732215,0
5,0,5182090588,0
10,0,10338142819,0
15,0,15485874471,0
20,0,20639967487,0
25,0,25784370219,0
30,0,30938362427,0
35,0,36091893886,0
40,0,41246873567,0
45,0,46406033530,0
50,0,51559455695,0
55,0,56718424786,0
60,0,61875371429,0
65,0,67031277068,0
70,0,72190075180,0
75,0,77347520971,0
80,0,82495553902,0
85,0,87656050272,0
90,0,92808095077,0
95,0,97964216206,0
100,0,103119209965,0
105,0,108275190149,0
110,0,113423704488,0
115,0,118574170210,0
120,0,123730688935,0
125,0,128882866030,0
130,0,134040413742,0
135,0,139201208077,0
140,0,144349501334,0
145,0,149503321938,0
150,0,154657965900,0
155,0,159819481336,0
160,0,164977558084,0
165,0,170136439962,0
170,0,175296598584,0
175,0,180452268082,0
180,0,185607176433,0
185,0,190761229213,0
190,0,195917179523,0
195,0,201074808610,0
200,0,206227174635,0
205,0,211388898243,0
210,0,216545346949,0
215,0,221694407399,0
220,0,226845759416,0
225,0,232005035826,0
230,0,237153193183,0
235,0,242309695321,0
240,0,247467818161,0
245,0,252621992863,0
250,0,257775593721,0
255,0,262935821399,0
260,0,268086849028,0
265,0,273244648620,0
270,0,278392319575,0
275,0,283544470900,0
280,0,288697025827,0
285,0,293855055659,0
290,0,299015815944,0
295,0,304172671883,0
